list1,list2,list3,list4,list5,list6,list7,list8,list9,list10,list11,list12,list13,list14,list15,list16,list17,list18
12,20,30,29,35,28,9,27,29,55,69,23,42,48,14,13,18,17
13,20,27,30,20,37,8,5,43,34,86,14,35,60,6,20,7,8
13,19,30,34,46,34,21,15,38,32,72,16,35,46,10,11,23,23
12,18,30,17,45,45,4,15,25,25,76,23,25,45,8,-5,1,17
13,19,28,19,36,35,12,15,32,30,74,17,12,45,14,42,6,25
12,19,27,30,42,44,2,16,36,36,61,17,19,55,-1,0,8,19
13,20,30,27,31,11,13,12,36,21,71,19,26,48,11,8,6,14
14,17,29,34,41,37,10,21,12,33,62,23,23,57,11,1,-6,19
11,19,30,11,44,44,5,6,34,26,59,19,6,53,13,27,9,15
10,20,29,14,37,33,3,22,45,37,76,8,22,60,11,-2,6,12
12,16,29,29,27,29,9,30,34,21,87,16,15,59,10,6,18,16
12,19,28,32,46,39,11,18,37,31,51,20,17,67,5,23,17,11
13,17,30,28,34,30,11,24,47,35,71,16,15,60,11,17,15,19
13,16,29,33,63,33,6,16,33,39,66,25,17,58,10,22,11,27
13,16,29,32,41,27,1,6,32,32,76,25,17,56,7,16,-9,11
13,17,29,-15,39,42,7,18,29,42,73,25,31,50,8,18,3,5
14,18,29,17,34,38,11,6,33,30,68,8,13,44,10,17,18,13
13,15,29,0,46,44,11,14,38,20,68,30,30,41,10,11,14,13
10,16,29,29,26,36,15,10,25,41,68,13,20,55,4,23,26,10
12,19,30,22,29,53,16,21,27,36,87,26,10,62,8,11,13,18
12,13,29,10,20,27,16,26,33,31,75,22,12,61,11,17,18,19
10,21,29,0,37,47,7,5,21,38,59,24,23,55,11,14,9,19
13,17,28,36,41,45,7,12,40,36,60,21,22,42,3,2,11,22
13,16,28,22,37,32,11,10,41,40,76,11,22,68,1,11,4,17
11,17,28,6,49,28,12,7,21,25,58,10,22,55,13,10,4,12
13,14,32,14,47,45,9,24,27,42,71,25,12,48,9,19,21,31
13,17,24,10,34,44,11,16,39,37,85,18,21,49,10,8,4,16
12,16,28,24,39,12,4,17,36,35,69,22,20,50,12,10,0,23
13,18,26,9,38,21,-1,17,43,32,61,6,19,52,9,3,17,22
11,19,26,33,38,31,10,7,43,42,85,15,18,59,12,14,3,22
11,19,27,21,33,28,6,18,31,39,74,18,18,58,12,21,7,17
13,18,25,10,41,20,12,11,37,39,70,20,24,58,1,8,3,7
13,16,27,0,39,36,6,14,46,29,66,5,24,46,14,11,15,26
12,19,27,18,31,40,13,15,26,23,76,22,21,47,5,23,35,11
11,14,28,30,28,36,8,8,51,34,64,24,18,46,6,10,14,32
12,16,30,13,18,44,17,12,24,29,64,15,9,51,3,19,22,21
15,18,30,30,40,35,7,21,43,28,59,28,17,45,7,31,9,15
11,18,30,16,37,29,9,16,45,30,61,19,13,67,12,17,13,18
13,21,29,28,25,39,7,10,37,22,74,28,24,56,9,18,19,4
12,21,27,20,32,44,14,22,33,37,79,29,21,64,7,16,11,19
11,21,27,19,49,39,5,20,46,29,72,16,26,53,11,15,15,13
11,18,30,11,36,39,7,14,58,21,80,19,27,57,8,-4,10,18
12,19,29,15,29,39,12,9,40,25,53,14,27,44,10,22,-2,18
12,19,28,18,40,34,6,17,23,26,76,12,18,47,10,10,9,14
12,15,22,24,30,28,10,23,33,38,61,20,28,59,8,7,19,10
12,17,33,14,45,22,20,18,36,44,69,17,23,58,2,4,3,15
11,16,26,27,37,54,16,14,26,33,78,32,27,61,13,15,-5,21
11,20,27,21,43,35,4,23,15,25,80,22,9,51,10,3,13,0
13,21,28,-2,26,27,13,13,19,35,78,6,13,61,11,-4,14,14
12,18,26,34,46,25,14,18,47,35,77,16,21,52,16,20,10,22
13,16,31,29,34,40,15,23,24,25,73,13,12,51,7,7,10,14
14,19,29,15,52,40,5,19,36,34,75,29,20,60,7,0,10,27
15,17,30,18,21,35,4,17,38,36,78,16,37,56,14,19,-6,22
12,19,27,4,35,30,8,13,38,40,65,20,13,49,11,15,9,13
13,20,26,17,41,36,21,35,28,37,62,18,21,51,13,16,-9,12
13,20,27,31,15,38,-1,14,23,45,72,18,22,46,6,18,-1,8
12,21,27,22,24,40,8,4,35,42,90,28,26,52,10,21,1,17
10,16,27,-1,18,28,6,26,47,31,77,21,31,58,2,1,2,8
11,17,25,16,25,26,13,16,45,23,72,32,9,46,6,2,9,24
12,12,29,9,27,49,11,5,37,28,81,16,27,59,6,5,8,17
11,17,30,32,47,36,7,15,41,26,78,13,23,52,8,-2,18,12
12,16,30,30,38,38,12,19,29,15,62,14,25,54,11,19,9,4
13,18,27,31,39,36,10,15,31,36,68,14,20,45,2,-8,10,13
12,18,27,19,18,42,5,24,26,46,78,15,30,64,11,2,10,11
12,20,28,9,29,44,6,8,33,29,61,20,18,55,10,4,14,21
10,19,27,16,37,39,16,8,36,31,88,32,15,53,17,21,6,22
13,16,26,34,40,38,7,22,14,35,71,27,18,64,14,18,-4,18
14,17,27,17,43,35,3,9,29,28,78,22,19,55,15,14,11,19
13,22,27,37,33,37,3,14,29,35,64,20,3,42,8,20,16,13
12,14,29,12,26,32,2,20,41,39,76,26,22,57,10,14,7,24
12,16,28,27,15,37,17,14,32,36,61,12,16,48,11,11,4,22
11,19,29,10,35,34,0,12,45,37,72,20,23,62,15,32,5,22
12,19,25,7,46,21,2,22,50,21,77,13,25,54,5,7,12,29
13,16,25,27,55,33,15,6,20,34,60,25,18,59,5,15,10,11
11,22,27,60,40,40,8,5,25,41,79,7,30,49,14,18,15,14
11,18,28,25,42,39,25,17,39,39,66,19,21,46,13,2,11,5
11,21,27,-8,44,35,23,11,51,30,73,17,27,58,2,23,-8,26
12,17,28,20,36,35,10,36,37,22,80,23,23,57,7,34,0,14
11,22,30,24,27,41,7,14,44,38,75,22,35,58,6,21,11,20
10,19,29,22,19,30,16,7,32,42,71,21,21,55,16,1,5,9
11,14,27,4,37,41,9,14,24,39,79,13,13,48,12,25,9,24
11,18,26,19,38,34,14,16,42,25,74,19,23,52,12,18,3,9
11,17,27,21,30,30,6,27,28,50,70,11,31,57,8,10,10,14
13,19,28,19,45,28,9,14,30,33,52,24,29,59,7,1,9,24
11,19,30,36,32,28,12,18,17,49,76,20,25,54,19,14,8,18
12,18,31,34,32,31,7,12,29,44,65,15,14,51,10,20,3,12
14,20,34,6,36,30,4,12,38,20,62,34,3,57,2,-7,10,17
10,15,30,40,39,23,5,17,18,18,69,34,28,45,9,12,16,19
14,17,29,8,23,40,21,17,32,34,66,20,28,51,2,12,9,28
10,15,29,24,52,43,11,25,23,34,63,21,14,40,11,12,20,22
11,21,29,6,28,28,10,22,31,36,50,1,28,61,8,13,13,12
14,21,26,-1,30,46,6,18,36,32,69,33,29,56,11,10,21,8
12,16,30,11,21,31,6,12,35,35,82,12,7,60,14,13,17,12
13,19,27,4,24,32,14,12,46,25,77,27,38,65,15,-7,20,14
12,22,25,5,50,34,5,19,29,38,65,21,23,59,12,3,-5,14
12,17,29,26,35,26,26,18,34,31,81,23,14,59,8,19,-6,5
14,21,27,19,34,45,-1,11,23,42,48,23,25,62,2,17,11,26
12,19,30,33,44,46,13,12,23,11,70,17,34,51,13,4,4,14
12,19,30,34,37,29,0,13,37,39,82,25,6,56,5,19,4,22
12,18,27,12,53,37,4,21,25,41,68,19,23,52,7,-6,5,13
