No of test,Delta P (mbar),Flow rate (l/s),T min,T max,Mean T,Out point,Pressure,Voxers,Type
1,3.00,0.015,18.30,21.40,19.85,2,Pa,V0,None
2,8.00,0.025,18.30,21.40,19.85,2,Pa,V0,None
3,9.00,0.026,18.30,21.40,19.85,2,Pa,V0,None
4,6.00,0.021,18.30,21.40,19.85,2,Pa,V0,None
5,4.00,0.018,18.30,21.40,19.85,2,Pa,V0,None
6,9.00,0.026,18.30,21.40,19.85,2,Pa,V0,None
7,8.00,0.026,18.30,21.40,19.85,2,Pa,V0,None
8,7.00,0.024,18.30,21.40,19.85,2,Pa,V0,None
9,9.00,0.027,18.30,21.40,19.85,2,Pa,V0,None
10,7.00,0.024,18.30,21.40,19.85,2,Pa,V0,None
11,12.00,0.03,18.30,21.40,19.85,3,Pab,V0,None
12,14.00,0.033,18.30,21.40,19.85,3,Pab,V0,None
13,15.00,0.033,18.30,21.40,19.85,3,Pab,V0,None
14,13.00,0.031,18.30,21.40,19.85,3,Pab,V0,None
15,9.00,0.027,18.30,21.40,19.85,3,Pab,V0,None
16,15.00,0.034,18.30,21.40,19.85,3,Pab,V0,None
17,11.00,0.029,18.30,21.40,19.85,3,Pab,V0,None
18,13.00,0.032,18.30,21.40,19.85,3,Pab,V0,None
19,14.00,0.033,18.30,21.40,19.85,3,Pab,V0,None
20,13.00,0.032,18.30,21.40,19.85,3,Pab,V0,None
21,16.00,0.035,18.30,21.40,19.85,4,Pt,V0,None
22,18.00,0.038,18.30,21.40,19.85,4,Pt,V0,None
23,19.00,0.038,18.30,21.40,19.85,4,Pt,V0,None
24,20.00,0.039,18.30,21.40,19.85,4,Pt,V0,None
25,19.00,0.039,18.30,21.40,19.85,4,Pt,V0,None
26,19.00,0.038,18.30,21.40,19.85,4,Pt,V0,None
27,18.00,0.037,18.30,21.40,19.85,4,Pt,V0,None
28,19.00,0.038,18.30,21.40,19.85,4,Pt,V0,None
29,19.00,0.039,18.30,21.40,19.85,4,Pt,V0,None
30,19.00,0.038,18.30,21.40,19.85,4,Pt,V0,None
31,5.00,0.017,13.00,20.60,16.80,2,Pa,V1,40 degree
32,8.00,0.025,13.00,20.60,16.80,2,Pa,V1,40 degree
33,7.00,0.023,13.00,20.60,16.80,2,Pa,V1,40 degree
34,6.00,0.022,13.00,20.60,16.80,2,Pa,V1,40 degree
35,5.00,0.02,13.00,20.60,16.80,2,Pa,V1,40 degree
36,6.00,0.021,15.70,15.70,15.70,2,Pa,V1,40 degree
37,3.00,0.015,14.90,20.80,17.85,2,Pa,V1,40 degree
38,4.00,0.017,14.00,21.00,17.50,2,Pa,V1,40 degree
